Id,Address,Sponsor,Website,Instagram,Lat,Lng
1,2400 Coral St. Philadelphia PA 19125,Mama-Tee Fridge,https://www.mamateefridge.com/,mamateefridge,39.98381692,-75.12887082
2,3231 N. 2nd St. Philadelphia PA 19140,Mama-Tee Fridge,https://www.mamateefridge.com/,mamateefridge,40.00032085,-75.13274447
3,1255 E. Palmer St. Philadelphia PA 19125,Mama-Tee Fridge,https://www.mamateefridge.com/,mamateefridge,39.97250641,-75.12863802
4,2401 E. Letterly St. Philadelphia PA 19125,Mama-Tee Fridge,https://www.mamateefridge.com/,mamateefridge,39.97913261,-75.12277387
5,1717 W. Hunting Park Ave. Philadelphia PA 19140,Mama-Tee Fridge,https://www.mamateefridge.com/,mamateefridge,40.01585664,-75.15543589
6,5524 Haverford Ave. Philadelphia PA 19139,Mama-Tee Fridge,https://www.mamateefridge.com/,mamateefridge,39.96705003,-75.23098013
7,4600 Woodland Ave. Philadelphia PA 19143,Mama-Tee Fridge,https://www.mamateefridge.com/,mamateefridge,39.94444094,-75.2090784
8,3033 W. Glenwood Ave. Philadelphia PA 19121,Mama-Tee Fridge,https://www.mamateefridge.com/,mamateefridge,39.9812705,-75.18536616
9,915 Spring Garden St. Philadelphia PA 19123,Mama-Tee Fridge,https://www.mamateefridge.com/,mamateefridge,39.9621159,-75.15339877
10,234 Winona St. Philadelphia PA 19144,Mama-Tee Fridge,https://www.mamateefridge.com/,mamateefridge,40.0287256,-75.1765125
11,2015 Fairmount Ave. Philadelphia PA 19130,Mama-Tee Fridge,https://www.mamateefridge.com/,mamateefridge,39.96752527,-75.1708498
12,2204 Washington Ave. Philadelphia PA 19146,Mama-Tee Fridge,https://www.mamateefridge.com/,mamateefridge,39.93913664,-75.18009268
13,3200 Dickinson St Philadelphia PA 19146,Mama-Tee Fridge,https://www.mamateefridge.com/,mamateefridge,40.0019008,75.1531604
14,635 W. Girard Ave Philadelphia PA 19123,Mama-Tee Fridge,https://www.mamateefridge.com/,mamateefridge,39.9739648,-75.1786178
15,1229 S. 6th St. Philadelphia PA 19147,South Philadelphia Community Fridge,https://southphillyfridge.com/,southphlcommunityfridge,39.93293404,-75.1541819
16,1200 S. 21st St. Philadelphia PA 19146,South Philadelphia Community Fridge,https://southphillyfridge.com/,southphlcommunityfridge,39.93776701,-75.17878782
17,1901 S. 9th St. Philadelphia PA 19148,South Philadelphia Community Fridge,https://southphillyfridge.com/,southphlcommunityfridge,39.92545993,-75.159828
18,2100 S. 24th St. Philadelphia PA 19145,South Philadelphia Community Fridge,https://southphillyfridge.com/,southphlcommunityfridge,39.9381656,-75.17860855
19,1149 S. 9th St. Philadelphia PA 19147,Fridges and Family,https://www.fridgesandfamily.com/,fridgesandfamily,39.93496051,-75.15862918
20,7044 Woodland Ave. Philadelphia PA 19142,Fridges and Family,https://www.fridgesandfamily.com/,fridgesandfamily,39.91975274,-75.24244683
21,1940 Liacouras Walk Philadelphia PA 19122,Fridges and Family,https://www.fridgesandfamily.com/,fridgesandfamily,39.98298182,-75.1562562
22,20 W. Armat St. Philadelphia PA 19144,Germantown Community Fridge,https://www.signupgenius.com/go/10c0d4ba9a72da0fac25-germantown,germantownfridge,40.03430179,-75.1743743
23,19 E. High St. Philadelphia PA 19144,Germantown Community Fridge,https://www.signupgenius.com/go/10c0d4ba9a72da0fac25-germantown,germantownfridge,40.04023864,-75.17754272
24,2670 Coral St. Philadelphia PA 19125,Coral Street Fridge,,coralstreetfridge,39.98724133,-75.12286222
25,3507 Midvale Ave. Philadelphia PA 19129,East Falls Community Fridge,https://eastfallscommunityfridge.com/,eastfallscommunityfridge,40.01390099,-75.1926351
26,511 S. 52nd St. Philadelphia PA 19143,The Peopleâ€™s Fridge,,thepeoplespeoplesfridge,39.9517768,-75.22635242
27,3750 Lancaster Ave. Philadelphia PA 19104,Powelton Community Fridge,https://linktr.ee/poweltonfridge,poweltonfridge,39.96014879,-75.19654847
28,1924 Spring Garden St. Philadelphia PA 19130,Spring Garden Community Pantry,,springgardencommunitypantry,39.96348896,-75.1706581
29,1684 Jefferson St. Philadelphia PA 19121,Love Your Neighbor Philly,,loveyourneighborphilly,39.97651695,-75.16316002
30,4134 Lancaster Ave. Philadelphia PA 19104,Ronnie Vega Community Fridge,,lavaspacephl,39.96562905,-75.20642657
31,5424 Lena St. Philadelphia PA 19144,Ourchive215,,ourchive215,40.03547668,-75.16996802